timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640078439293998848,"2021-12-21,09:20:39",10.1.1.3,0.3399178981781006,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078439294384128,"2021-12-21,09:20:39",10.1.1.3,340,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078439651539968,"2021-12-21,09:20:39",10.1.1.3,356,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640078439685286912,"2021-12-21,09:20:39",10.1.1.3,0.3898930549621582,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640078440021694976,"2021-12-21,09:20:40",10.1.1.3,327,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640078440092619008,"2021-12-21,09:20:40",10.1.1.3,0.3979918956756592,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640078440465789184,"2021-12-21,09:20:40",10.1.1.3,367,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640078440529395200,"2021-12-21,09:20:40",10.1.1.3,0.43120312690734863,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640078440835508224,"2021-12-21,09:20:40",10.1.1.3,304,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640078440891063808,"2021-12-21,09:20:40",10.1.1.3,0.3604729175567627,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640078441205224960,"2021-12-21,09:20:41",10.1.1.3,309,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640078441239883776,"2021-12-21,09:20:41",10.1.1.3,0.34389495849609375,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640078441567529984,"2021-12-21,09:20:41",10.1.1.3,325,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640078441586258944,"2021-12-21,09:20:41",10.1.1.3,0.34458184242248535,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640078441939083008,"2021-12-21,09:20:41",10.1.1.3,349,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640078442008718848,"2021-12-21,09:20:42",10.1.1.3,0.41875386238098145,-0.130,-0.130,-0.130,0.000,0.000,0.000
