--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
475,2022-01-02-11:09:59,7,3,2.131552
476,2022-01-02-11:10:02,3,6,3.627093
477,2022-01-02-11:10:06,6,4,3.450986
478,2022-01-02-11:10:07,4,0,1.548424
479,2022-01-02-11:10:09,0,7,1.917371
480,2022-01-02-11:10:12,7,5,2.608571
481,2022-01-02-11:10:14,5,4,1.764710
482,2022-01-02-11:10:16,4,3,2.119073
483,2022-01-02-11:10:18,3,0,2.394730
484,2022-01-02-11:10:22,0,6,3.439282
485,2022-01-02-11:10:25,6,0,3.433999
486,2022-01-02-11:10:29,0,6,3.439137
487,2022-01-02-11:10:32,6,2,3.067081
488,2022-01-02-11:10:34,2,3,2.601897
489,2022-01-02-11:10:38,3,6,3.627936
490,2022-01-02-11:10:41,6,2,3.083139
491,2022-01-02-11:10:43,2,1,1.948426
492,2022-01-02-11:10:44,1,4,1.325442
493,2022-01-02-11:10:46,4,2,1.796588
494,2022-01-02-11:10:49,2,7,2.570083
495,2022-01-02-11:10:50,7,0,1.925518
496,2022-01-02-11:10:53,0,3,2.385045
497,2022-01-02-11:10:57,3,6,3.668055
498,2022-01-02-11:11:00,6,1,3.549745
499,2022-01-02-11:11:04,1,6,3.506012
500,2022-01-02-11:11:07,6,4,3.441237
501,2022-01-02-11:11:10,4,6,3.437486
502,2022-01-02-11:11:14,6,4,3.436167
503,2022-01-02-11:11:16,4,5,1.785187
504,2022-01-02-11:11:18,5,1,1.896800
505,2022-01-02-11:11:21,1,6,3.536850
506,2022-01-02-11:11:25,6,1,3.548806
507,2022-01-02-11:11:26,1,4,1.326707
508,2022-01-02-11:11:27,4,1,1.319704
509,2022-01-02-11:11:29,1,7,1.665560
510,2022-01-02-11:11:31,7,3,2.089522
511,2022-01-02-11:11:33,3,5,2.192270
512,2022-01-02-11:11:35,5,4,1.754644
513,2022-01-02-11:11:37,4,5,1.762756
514,2022-01-02-11:11:39,5,1,1.942894
515,2022-01-02-11:11:42,1,6,3.540132
516,2022-01-02-11:11:46,6,3,3.643853
517,2022-01-02-11:11:48,3,5,2.149598
518,2022-01-02-11:11:51,5,7,2.557027
519,2022-01-02-11:11:53,7,5,2.554320
520,2022-01-02-11:11:56,5,6,3.078032
521,2022-01-02-11:12:00,6,3,3.618286
522,2022-01-02-11:12:02,3,7,2.139687
523,2022-01-02-11:12:04,7,3,2.139421
524,2022-01-02-11:12:07,3,0,2.404440
525,2022-01-02-11:12:08,0,2,1.739685
526,2022-01-02-11:12:11,2,3,2.620594
527,2022-01-02-11:12:13,3,0,2.424535
528,2022-01-02-11:12:15,0,4,1.523231
529,2022-01-02-11:12:16,4,1,1.324890
530,2022-01-02-11:12:18,1,7,1.656274
531,2022-01-02-11:12:20,7,0,1.973410
532,2022-01-02-11:12:22,0,2,1.739477
533,2022-01-02-11:12:23,2,0,1.702309
534,2022-01-02-11:12:26,0,3,2.397122
535,2022-01-02-11:12:28,3,0,2.351072
536,2022-01-02-11:12:30,0,4,1.532999
537,2022-01-02-11:12:31,4,1,1.322288
538,2022-01-02-11:12:32,1,0,1.029205
539,2022-01-02-11:12:34,0,2,1.696768
540,2022-01-02-11:12:35,2,0,1.726014
541,2022-01-02-11:12:37,0,2,1.766079
542,2022-01-02-11:12:40,2,7,2.573541
543,2022-01-02-11:12:42,7,2,2.534142
544,2022-01-02-11:12:44,2,5,1.531677
545,2022-01-02-11:12:46,5,3,2.196378
546,2022-01-02-11:12:48,3,5,2.194529
547,2022-01-02-11:12:50,5,1,1.910947
548,2022-01-02-11:12:51,1,0,1.027673
549,2022-01-02-11:12:53,0,3,2.393186
550,2022-01-02-11:12:56,3,0,2.421111
551,2022-01-02-11:12:58,0,3,2.293329
552,2022-01-02-11:13:00,3,4,2.138960
553,2022-01-02-11:13:02,4,1,1.316074
554,2022-01-02-11:13:04,1,5,1.929263
555,2022-01-02-11:13:05,5,4,1.723051
