"iteration,date,executiontime"
460,2022-02-08-13:08:06,1.04568
461,2022-02-08-13:08:07,0.93583
462,2022-02-08-13:08:08,0.51291
463,2022-02-08-13:08:08,0.71043
464,2022-02-08-13:08:09,0.76667
465,2022-02-08-13:08:10,0.53683
466,2022-02-08-13:08:11,1.11505
467,2022-02-08-13:08:12,0.62997
468,2022-02-08-13:08:12,0.87046
469,2022-02-08-13:08:13,0.92540
470,2022-02-08-13:08:14,0.79128
471,2022-02-08-13:08:15,0.82451
472,2022-02-08-13:08:16,0.93024
473,2022-02-08-13:08:17,0.81526
474,2022-02-08-13:08:18,0.92541
475,2022-02-08-13:08:18,0.41541
476,2022-02-08-13:08:19,0.74283
477,2022-02-08-13:08:19,0.71680
478,2022-02-08-13:08:20,0.45260
479,2022-02-08-13:08:20,0.43285
480,2022-02-08-13:08:21,0.64500
481,2022-02-08-13:08:21,0.37520
482,2022-02-08-13:08:22,0.68691
483,2022-02-08-13:08:23,0.69997
484,2022-02-08-13:08:24,0.83124
485,2022-02-08-13:08:24,0.44556
486,2022-02-08-13:08:25,0.85275
487,2022-02-08-13:08:26,0.87985
488,2022-02-08-13:08:26,0.51211
489,2022-02-08-13:08:27,0.84397
490,2022-02-08-13:08:28,0.83168
491,2022-02-08-13:08:29,0.68087
492,2022-02-08-13:08:30,0.92037
493,2022-02-08-13:08:30,0.62450
494,2022-02-08-13:08:31,0.58107
495,2022-02-08-13:08:32,0.74527
496,2022-02-08-13:08:32,0.58118
497,2022-02-08-13:08:33,0.45028
498,2022-02-08-13:08:33,0.63914
499,2022-02-08-13:08:34,0.37947
500,2022-02-08-13:08:34,0.88118
501,2022-02-08-13:08:35,0.92191
502,2022-02-08-13:08:36,0.74638
503,2022-02-08-13:08:37,0.37972
504,2022-02-08-13:08:37,0.42026
505,2022-02-08-13:08:37,0.43027
506,2022-02-08-13:08:38,0.74004
507,2022-02-08-13:08:39,0.45016
508,2022-02-08-13:08:39,0.91565
509,2022-02-08-13:08:40,0.78811
510,2022-02-08-13:08:41,0.57274
511,2022-02-08-13:08:41,0.64692
512,2022-02-08-13:08:42,0.75440
513,2022-02-08-13:08:43,0.51092
514,2022-02-08-13:08:44,0.94388
515,2022-02-08-13:08:44,0.78911
516,2022-02-08-13:08:45,0.38269
517,2022-02-08-13:08:46,0.74987
518,2022-02-08-13:08:46,0.82804
519,2022-02-08-13:08:47,0.51869
520,2022-02-08-13:08:48,0.74797
521,2022-02-08-13:08:49,0.83706
522,2022-02-08-13:08:49,0.55997
523,2022-02-08-13:08:50,0.61954
524,2022-02-08-13:08:51,0.91591
525,2022-02-08-13:08:51,0.64035
526,2022-02-08-13:08:52,0.66526
527,2022-02-08-13:08:52,0.54715
528,2022-02-08-13:08:53,0.41028
529,2022-02-08-13:08:54,0.98640
530,2022-02-08-13:08:55,0.91255
531,2022-02-08-13:08:55,0.64833
532,2022-02-08-13:08:56,0.65711
533,2022-02-08-13:08:57,0.41031
534,2022-02-08-13:08:57,0.71292
535,2022-02-08-13:08:58,0.93054
536,2022-02-08-13:08:59,0.74587
537,2022-02-08-13:08:59,0.58262
538,2022-02-08-13:09:00,0.60203
539,2022-02-08-13:09:01,0.71037
540,2022-02-08-13:09:02,0.90371
541,2022-02-08-13:09:03,0.85974
542,2022-02-08-13:09:03,0.41295
543,2022-02-08-13:09:03,0.38255
544,2022-02-08-13:09:04,0.61398
545,2022-02-08-13:09:04,0.41830
546,2022-02-08-13:09:05,0.71281
547,2022-02-08-13:09:06,0.55398
548,2022-02-08-13:09:06,0.51292
549,2022-02-08-13:09:07,0.80089
550,2022-02-08-13:09:08,0.81488
551,2022-02-08-13:09:09,0.74192
552,2022-02-08-13:09:09,0.81568
553,2022-02-08-13:09:10,0.88250
554,2022-02-08-13:09:11,0.95051
555,2022-02-08-13:09:12,0.57642
556,2022-02-08-13:09:12,0.43442
557,2022-02-08-13:09:13,0.64951
558,2022-02-08-13:09:13,0.52073
559,2022-02-08-13:09:14,0.45712
560,2022-02-08-13:09:15,0.71662
561,2022-02-08-13:09:15,0.81705
562,2022-02-08-13:09:16,0.41021
563,2022-02-08-13:09:16,0.63378
564,2022-02-08-13:09:17,0.78177
565,2022-02-08-13:09:18,0.55502
566,2022-02-08-13:09:18,0.72629
567,2022-02-08-13:09:19,0.88586
568,2022-02-08-13:09:20,0.59225
569,2022-02-08-13:09:21,0.75545
570,2022-02-08-13:09:21,0.75975
571,2022-02-08-13:09:22,0.42967
572,2022-02-08-13:09:23,0.86010
573,2022-02-08-13:09:24,0.75885
574,2022-02-08-13:09:24,0.65104
575,2022-02-08-13:09:25,0.88507
576,2022-02-08-13:09:26,0.53014
577,2022-02-08-13:09:26,0.71655
578,2022-02-08-13:09:27,0.40918
579,2022-02-08-13:09:27,0.62042
580,2022-02-08-13:09:28,0.74988
581,2022-02-08-13:09:29,0.83261
582,2022-02-08-13:09:30,0.65692
583,2022-02-08-13:09:30,0.40833
584,2022-02-08-13:09:31,0.54278
585,2022-02-08-13:09:31,0.62011
586,2022-02-08-13:09:32,0.91481
587,2022-02-08-13:09:33,0.79349
588,2022-02-08-13:09:33,0.42803
589,2022-02-08-13:09:34,0.83370
590,2022-02-08-13:09:35,0.79488
591,2022-02-08-13:09:36,0.92158
592,2022-02-08-13:09:37,0.82847
593,2022-02-08-13:09:37,0.63182
594,2022-02-08-13:09:38,0.74205
595,2022-02-08-13:09:39,0.83879
596,2022-02-08-13:09:39,0.51404
597,2022-02-08-13:09:40,0.87843
598,2022-02-08-13:09:41,0.81048
599,2022-02-08-13:09:42,0.71613
600,2022-02-08-13:09:42,0.57549
601,2022-02-08-13:09:43,0.60978
602,2022-02-08-13:09:44,0.80972
603,2022-02-08-13:09:44,0.54368
604,2022-02-08-13:09:45,0.64174
605,2022-02-08-13:09:46,0.73594
606,2022-02-08-13:09:46,0.63752
607,2022-02-08-13:09:47,0.72206
608,2022-02-08-13:09:48,0.68254
609,2022-02-08-13:09:49,0.78819
610,2022-02-08-13:09:49,0.76625
611,2022-02-08-13:09:50,0.80575
612,2022-02-08-13:09:51,0.89382
613,2022-02-08-13:09:52,0.81585
614,2022-02-08-13:09:53,0.72592
615,2022-02-08-13:09:54,1.04806
616,2022-02-08-13:09:54,0.74513
617,2022-02-08-13:09:55,0.68226
618,2022-02-08-13:09:55,0.41886
619,2022-02-08-13:09:56,0.48958
620,2022-02-08-13:09:57,0.76083
621,2022-02-08-13:09:58,0.92966
622,2022-02-08-13:09:58,0.55562
623,2022-02-08-13:09:59,0.54442
624,2022-02-08-13:09:59,0.57519
625,2022-02-08-13:10:00,0.38326
626,2022-02-08-13:10:01,0.84803
627,2022-02-08-13:10:01,0.52350
628,2022-02-08-13:10:02,0.73088
629,2022-02-08-13:10:03,0.89829
630,2022-02-08-13:10:03,0.78707
631,2022-02-08-13:10:04,0.78482
632,2022-02-08-13:10:05,1.02195
633,2022-02-08-13:10:06,0.52062
634,2022-02-08-13:10:07,0.75004
635,2022-02-08-13:10:07,0.71523
636,2022-02-08-13:10:08,0.65026
637,2022-02-08-13:10:09,0.62848
638,2022-02-08-13:10:09,0.44802
639,2022-02-08-13:10:10,0.54610
640,2022-02-08-13:10:10,0.61634
641,2022-02-08-13:10:11,0.52381
642,2022-02-08-13:10:11,0.43556
643,2022-02-08-13:10:12,0.49043
644,2022-02-08-13:10:12,0.81525
645,2022-02-08-13:10:13,0.61268
646,2022-02-08-13:10:14,0.69677
647,2022-02-08-13:10:14,0.64289
648,2022-02-08-13:10:15,0.72404
649,2022-02-08-13:10:16,0.74231
650,2022-02-08-13:10:17,0.67167
651,2022-02-08-13:10:17,0.88652
652,2022-02-08-13:10:18,1.01627
653,2022-02-08-13:10:19,0.68496
654,2022-02-08-13:10:20,0.63606
655,2022-02-08-13:10:21,0.79912
656,2022-02-08-13:10:21,0.52153
657,2022-02-08-13:10:21,0.41246
658,2022-02-08-13:10:22,0.54715
659,2022-02-08-13:10:23,0.51124
660,2022-02-08-13:10:24,1.04006
661,2022-02-08-13:10:25,1.05682
662,2022-02-08-13:10:25,0.37802
663,2022-02-08-13:10:26,0.73126
664,2022-02-08-13:10:26,0.42783
665,2022-02-08-13:10:27,0.52268
666,2022-02-08-13:10:28,0.84406
667,2022-02-08-13:10:28,0.62679
668,2022-02-08-13:10:29,0.58007
669,2022-02-08-13:10:29,0.63883
