"iteration,date,executiontime"
498,2022-02-09-00:20:20,0.78887
499,2022-02-09-00:20:21,0.76414
500,2022-02-09-00:20:21,0.70138
501,2022-02-09-00:20:22,0.88002
502,2022-02-09-00:20:23,0.68594
503,2022-02-09-00:20:23,0.61552
504,2022-02-09-00:20:24,0.55116
505,2022-02-09-00:20:25,0.80277
506,2022-02-09-00:20:25,0.61071
507,2022-02-09-00:20:26,0.78233
508,2022-02-09-00:20:27,0.65137
509,2022-02-09-00:20:27,0.65628
510,2022-02-09-00:20:28,0.75452
511,2022-02-09-00:20:29,0.86300
512,2022-02-09-00:20:30,0.72614
513,2022-02-09-00:20:31,0.78983
514,2022-02-09-00:20:31,0.75741
515,2022-02-09-00:20:32,0.64315
516,2022-02-09-00:20:33,0.71605
517,2022-02-09-00:20:33,0.76067
518,2022-02-09-00:20:34,0.64592
519,2022-02-09-00:20:35,0.87133
520,2022-02-09-00:20:36,0.83403
521,2022-02-09-00:20:37,0.66559
522,2022-02-09-00:20:37,0.71743
523,2022-02-09-00:20:38,0.66877
524,2022-02-09-00:20:39,0.72489
525,2022-02-09-00:20:40,0.94120
526,2022-02-09-00:20:41,0.94941
527,2022-02-09-00:20:41,0.70296
528,2022-02-09-00:20:42,0.79145
529,2022-02-09-00:20:43,0.54236
530,2022-02-09-00:20:43,0.63283
531,2022-02-09-00:20:44,0.59007
532,2022-02-09-00:20:45,0.74232
533,2022-02-09-00:20:45,0.69148
534,2022-02-09-00:20:46,0.66117
535,2022-02-09-00:20:47,0.75463
536,2022-02-09-00:20:47,0.62896
537,2022-02-09-00:20:48,0.81926
538,2022-02-09-00:20:49,0.80561
539,2022-02-09-00:20:49,0.54476
540,2022-02-09-00:20:50,0.81895
541,2022-02-09-00:20:51,0.92929
542,2022-02-09-00:20:52,0.81526
543,2022-02-09-00:20:53,0.68409
544,2022-02-09-00:20:53,0.73930
545,2022-02-09-00:20:54,0.66716
546,2022-02-09-00:20:55,0.74202
547,2022-02-09-00:20:56,0.78855
548,2022-02-09-00:20:56,0.55311
549,2022-02-09-00:20:57,0.61697
550,2022-02-09-00:20:58,0.72221
551,2022-02-09-00:20:58,0.69277
552,2022-02-09-00:20:59,0.72447
553,2022-02-09-00:21:00,0.62098
554,2022-02-09-00:21:00,0.61147
555,2022-02-09-00:21:01,0.57094
556,2022-02-09-00:21:01,0.58689
557,2022-02-09-00:21:02,0.51065
558,2022-02-09-00:21:02,0.63545
559,2022-02-09-00:21:03,0.66620
560,2022-02-09-00:21:04,0.71782
561,2022-02-09-00:21:05,0.65404
562,2022-02-09-00:21:05,0.65769
563,2022-02-09-00:21:06,0.61980
564,2022-02-09-00:21:07,0.82994
565,2022-02-09-00:21:07,0.76793
566,2022-02-09-00:21:08,0.67587
567,2022-02-09-00:21:09,0.74952
568,2022-02-09-00:21:10,0.81241
569,2022-02-09-00:21:10,0.65103
570,2022-02-09-00:21:11,0.87221
571,2022-02-09-00:21:12,0.55965
572,2022-02-09-00:21:12,0.74164
573,2022-02-09-00:21:13,0.72471
574,2022-02-09-00:21:14,0.65138
575,2022-02-09-00:21:15,0.70768
576,2022-02-09-00:21:15,0.79303
577,2022-02-09-00:21:16,0.70758
578,2022-02-09-00:21:17,0.48983
579,2022-02-09-00:21:17,0.75642
580,2022-02-09-00:21:18,0.91902
581,2022-02-09-00:21:19,0.54483
582,2022-02-09-00:21:19,0.68653
583,2022-02-09-00:21:20,0.95874
584,2022-02-09-00:21:21,0.74082
585,2022-02-09-00:21:22,0.62504
586,2022-02-09-00:21:22,0.55753
587,2022-02-09-00:21:23,0.76574
588,2022-02-09-00:21:24,0.66643
589,2022-02-09-00:21:25,0.87660
590,2022-02-09-00:21:26,0.85170
591,2022-02-09-00:21:26,0.73109
592,2022-02-09-00:21:27,0.64672
593,2022-02-09-00:21:28,0.86890
594,2022-02-09-00:21:29,0.74373
595,2022-02-09-00:21:29,0.87773
596,2022-02-09-00:21:30,0.63201
597,2022-02-09-00:21:31,0.94576
598,2022-02-09-00:21:32,0.69763
599,2022-02-09-00:21:32,0.70458
600,2022-02-09-00:21:33,0.79858
601,2022-02-09-00:21:34,0.74678
602,2022-02-09-00:21:35,0.76946
603,2022-02-09-00:21:35,0.60290
604,2022-02-09-00:21:36,0.61098
605,2022-02-09-00:21:37,0.78580
606,2022-02-09-00:21:37,0.79109
607,2022-02-09-00:21:38,0.84835
608,2022-02-09-00:21:39,0.68699
609,2022-02-09-00:21:40,0.71760
610,2022-02-09-00:21:40,0.72420
611,2022-02-09-00:21:41,0.76122
612,2022-02-09-00:21:42,0.83542
613,2022-02-09-00:21:43,0.63933
614,2022-02-09-00:21:43,0.77647
615,2022-02-09-00:21:44,0.74832
616,2022-02-09-00:21:45,0.51360
617,2022-02-09-00:21:45,0.68469
618,2022-02-09-00:21:46,0.54712
619,2022-02-09-00:21:47,0.61124
620,2022-02-09-00:21:47,0.64358
621,2022-02-09-00:21:48,0.44980
622,2022-02-09-00:21:48,0.57354
623,2022-02-09-00:21:49,0.64865
624,2022-02-09-00:21:50,0.66463
625,2022-02-09-00:21:50,0.62782
626,2022-02-09-00:21:51,0.87188
627,2022-02-09-00:21:52,0.64000
628,2022-02-09-00:21:52,0.61684
