"iteration,date,init_position,final_position,time"
385,2022-01-27-20:18:58,4,1,1.49945
386,2022-01-27-20:19:00,1,2,2.07581
387,2022-01-27-20:19:04,2,3,4.05173
388,2022-01-27-20:19:07,3,6,3.38441
389,2022-01-27-20:19:11,6,3,3.94579
390,2022-01-27-20:19:14,3,1,2.41700
391,2022-01-27-20:19:15,1,4,1.49962
392,2022-01-27-20:19:17,4,2,2.15955
393,2022-01-27-20:19:20,2,7,2.80135
394,2022-01-27-20:19:24,7,0,3.36953
395,2022-01-27-20:19:25,0,1,1.11765
396,2022-01-27-20:19:26,1,0,1.16885
397,2022-01-27-20:19:28,0,2,1.81758
398,2022-01-27-20:19:31,2,6,3.20669
399,2022-01-27-20:19:34,6,0,2.95587
400,2022-01-27-20:19:36,0,4,1.62941
401,2022-01-27-20:19:37,4,7,1.98135
402,2022-01-27-20:19:39,7,1,1.73585
403,2022-01-27-20:19:41,1,5,2.12506
404,2022-01-27-20:19:44,5,7,2.63629
405,2022-01-27-20:19:47,7,6,2.64003
406,2022-01-27-20:19:50,6,5,3.19246
407,2022-01-27-20:19:52,5,3,2.33787
408,2022-01-27-20:19:57,3,2,4.39671
409,2022-01-27-20:20:01,2,0,4.28743
410,2022-01-27-20:20:03,0,5,2.17357
411,2022-01-27-20:20:07,5,2,4.09105
412,2022-01-27-20:20:12,2,1,4.43693
413,2022-01-27-20:20:14,1,3,2.28151
414,2022-01-27-20:20:16,3,1,2.38531
415,2022-01-27-20:20:18,1,5,2.08668
416,2022-01-27-20:20:21,5,7,2.74177
417,2022-01-27-20:20:24,7,2,3.31246
418,2022-01-27-20:20:28,2,0,4.00450
419,2022-01-27-20:20:30,0,1,1.28217
420,2022-01-27-20:20:32,1,2,2.08039
421,2022-01-27-20:20:34,2,7,2.67466
422,2022-01-27-20:20:36,7,4,1.95521
423,2022-01-27-20:20:39,4,3,2.16984
424,2022-01-27-20:20:41,3,0,2.56986
425,2022-01-27-20:20:45,0,6,3.72143
426,2022-01-27-20:20:49,6,0,3.99320
427,2022-01-27-20:20:51,0,2,1.87850
428,2022-01-27-20:20:52,2,5,1.60312
429,2022-01-27-20:20:54,5,1,2.00699
430,2022-01-27-20:20:56,1,7,1.77920
431,2022-01-27-20:20:59,7,5,2.86245
432,2022-01-27-20:21:01,5,1,2.01425
433,2022-01-27-20:21:04,1,6,2.79034
434,2022-01-27-20:21:07,6,0,3.20991
435,2022-01-27-20:21:09,0,4,1.61788
436,2022-01-27-20:21:10,4,0,1.68634
437,2022-01-27-20:21:14,0,6,3.63282
438,2022-01-27-20:21:17,6,4,3.32920
439,2022-01-27-20:21:21,4,2,3.28813
440,2022-01-27-20:21:24,2,6,3.37081
441,2022-01-27-20:21:28,6,0,3.69018
442,2022-01-27-20:21:29,0,1,1.14368
443,2022-01-27-20:21:30,1,0,1.15506
444,2022-01-27-20:21:32,0,5,2.11536
445,2022-01-27-20:21:34,5,0,2.02341
446,2022-01-27-20:21:37,0,6,2.96702
447,2022-01-27-20:21:41,6,2,4.42361
448,2022-01-27-20:21:45,2,6,3.36776
449,2022-01-27-20:21:48,6,2,3.39086
450,2022-01-27-20:21:51,2,6,3.24817
451,2022-01-27-20:21:54,6,7,2.76194
452,2022-01-27-20:21:57,7,0,3.14717
453,2022-01-27-20:21:59,0,1,1.22707
454,2022-01-27-20:22:00,1,0,1.32254
455,2022-01-27-20:22:02,0,2,1.84669
456,2022-01-27-20:22:04,2,4,1.88888
457,2022-01-27-20:22:06,4,7,1.97024
458,2022-01-27-20:22:10,7,6,4.32129
459,2022-01-27-20:22:13,6,5,3.31158
460,2022-01-27-20:22:15,5,1,1.94622
461,2022-01-27-20:22:17,1,7,1.78201
462,2022-01-27-20:22:19,7,3,2.26239
463,2022-01-27-20:22:21,3,6,2.05486
464,2022-01-27-20:22:24,6,1,2.85805
465,2022-01-27-20:22:26,1,7,1.78716
466,2022-01-27-20:22:29,7,3,2.57217
467,2022-01-27-20:22:33,3,2,4.34091
468,2022-01-27-20:22:36,2,6,3.20801
469,2022-01-27-20:22:39,6,5,3.39788
470,2022-01-27-20:22:42,5,3,2.55208
471,2022-01-27-20:22:44,3,5,2.41392
472,2022-01-27-20:22:48,5,3,3.13999
473,2022-01-27-20:22:51,3,4,3.55370
474,2022-01-27-20:22:53,4,3,2.13216
475,2022-01-27-20:22:58,3,2,4.45269
476,2022-01-27-20:23:01,2,6,3.23107
477,2022-01-27-20:23:05,6,5,3.60439
478,2022-01-27-20:23:07,5,1,1.96908
479,2022-01-27-20:23:09,1,3,2.47198
480,2022-01-27-20:23:11,3,4,2.11618
481,2022-01-27-20:23:13,4,5,1.83668
482,2022-01-27-20:23:17,5,2,3.95577
483,2022-01-27-20:23:21,2,0,4.20300
484,2022-01-27-20:23:23,0,5,2.21825
485,2022-01-27-20:23:27,5,4,3.38183
486,2022-01-27-20:23:30,4,2,3.39830
487,2022-01-27-20:23:33,2,7,2.67368
488,2022-01-27-20:23:37,7,1,4.32525
489,2022-01-27-20:23:38,1,0,1.25047
490,2022-01-27-20:23:40,0,5,2.03087
491,2022-01-27-20:23:44,5,3,3.16802
492,2022-01-27-20:23:47,3,5,3.07133
493,2022-01-27-20:23:49,5,0,2.39286
494,2022-01-27-20:23:53,0,3,3.63710
495,2022-01-27-20:23:55,3,4,2.41267
496,2022-01-27-20:23:57,4,3,2.23926
497,2022-01-27-20:24:01,3,1,3.54545
498,2022-01-27-20:24:02,1,0,1.11342
499,2022-01-27-20:24:04,0,2,1.77412
500,2022-01-27-20:24:06,2,7,2.67196
501,2022-01-27-20:24:10,7,0,3.26898
502,2022-01-27-20:24:12,0,5,2.04404
503,2022-01-27-20:24:14,5,7,2.66666
504,2022-01-27-20:24:18,7,4,3.86615
505,2022-01-27-20:24:20,4,1,1.41788
506,2022-01-27-20:24:21,1,4,1.52002
507,2022-01-27-20:24:23,4,7,2.09515
508,2022-01-27-20:24:26,7,3,2.61777
509,2022-01-27-20:24:29,3,5,2.62093
510,2022-01-27-20:24:31,5,1,2.01068
511,2022-01-27-20:24:33,1,2,2.16082
512,2022-01-27-20:24:35,2,4,1.84823
513,2022-01-27-20:24:37,4,7,2.01140
514,2022-01-27-20:24:38,7,1,1.81368
515,2022-01-27-20:24:40,1,0,1.26263
516,2022-01-27-20:24:42,0,2,1.87444
517,2022-01-27-20:24:43,2,5,1.64710
518,2022-01-27-20:24:45,5,4,2.27575
519,2022-01-27-20:24:47,4,5,1.98453
520,2022-01-27-20:24:50,5,3,2.35658
521,2022-01-27-20:24:52,3,1,2.52599
522,2022-01-27-20:24:54,1,7,1.80206
523,2022-01-27-20:24:57,7,2,2.69987
524,2022-01-27-20:24:59,2,0,1.83985
525,2022-01-27-20:25:00,0,1,1.20396
526,2022-01-27-20:25:02,1,2,2.28488
527,2022-01-27-20:25:04,2,5,1.75919
528,2022-01-27-20:25:06,5,2,1.81359
529,2022-01-27-20:25:08,2,1,2.05934
530,2022-01-27-20:25:10,1,5,2.09672
531,2022-01-27-20:25:12,5,2,1.68881
532,2022-01-27-20:25:14,2,7,2.78825
533,2022-01-27-20:25:18,7,5,3.34928
534,2022-01-27-20:25:20,5,3,2.64799
535,2022-01-27-20:25:24,3,7,3.57912
536,2022-01-27-20:25:27,7,1,3.34280
537,2022-01-27-20:25:29,1,2,2.05540
538,2022-01-27-20:25:31,2,4,1.86915
539,2022-01-27-20:25:33,4,0,1.62260
540,2022-01-27-20:25:37,0,6,3.66137
541,2022-01-27-20:25:39,6,7,2.76824
542,2022-01-27-20:25:42,7,2,3.17184
543,2022-01-27-20:25:47,2,6,4.21382
544,2022-01-27-20:25:50,6,1,3.44270
545,2022-01-27-20:25:51,1,0,1.15310
546,2022-01-27-20:25:53,0,4,1.65040
547,2022-01-27-20:25:55,4,7,2.03596
548,2022-01-27-20:25:59,7,4,4.14095
549,2022-01-27-20:26:03,4,1,4.23418
550,2022-01-27-20:26:05,1,7,1.82333
551,2022-01-27-20:26:08,7,5,3.35059
552,2022-01-27-20:26:11,5,7,2.61792
553,2022-01-27-20:26:14,7,2,2.68812
554,2022-01-27-20:26:17,2,6,3.31399
555,2022-01-27-20:26:21,6,1,3.80277
556,2022-01-27-20:26:23,1,3,2.40488
557,2022-01-27-20:26:26,3,2,2.75451
558,2022-01-27-20:26:29,2,6,3.25165
559,2022-01-27-20:26:32,6,3,2.18477
560,2022-01-27-20:26:36,3,2,4.54566
561,2022-01-27-20:26:39,2,7,3.33539
562,2022-01-27-20:26:42,7,6,2.73169
563,2022-01-27-20:26:46,6,3,3.90384
564,2022-01-27-20:26:48,3,6,2.15490
565,2022-01-27-20:26:51,6,0,3.06030
566,2022-01-27-20:26:53,0,2,1.84476
567,2022-01-27-20:26:56,2,7,2.80638
568,2022-01-27-20:26:58,7,3,2.28302
569,2022-01-27-20:27:01,3,0,2.72582
570,2022-01-27-20:27:02,0,1,1.19454
571,2022-01-27-20:27:04,1,7,1.83262
572,2022-01-27-20:27:07,7,3,2.82776
573,2022-01-27-20:27:09,3,7,2.36871
574,2022-01-27-20:27:11,7,4,1.96697
575,2022-01-27-20:27:15,4,6,3.52777
576,2022-01-27-20:27:18,6,2,3.28185
577,2022-01-27-20:27:22,2,6,4.24356
578,2022-01-27-20:27:25,6,0,3.11751
